ticker,screen_type,price,volume,score,signal_date,days_since_signal,analysis_date,screener,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed
IWM,drwish_glb,237.77,144216400,75.72,2025-09-01,15,2025-09-16,DrWish GLB,226.71,239.68,5.72,6,True
IWM,drwish_glb,237.77,144216400,74.55,2025-08-25,22,2025-09-16,DrWish GLB,226.71,237.02,4.55,5,True
IWM,drwish_glb,237.77,144216400,73.84,2025-08-18,29,2025-09-16,DrWish GLB,226.71,235.42,3.84,4,True
XLC,drwish_glb,114.69,27295800,72.55,2025-09-01,15,2025-09-16,DrWish GLB,112.22,115.08,2.55,3,True
XLP,drwish_glb,80.87,64760200,71.55,2025-08-18,29,2025-09-16,DrWish GLB,82.62,83.9,1.55,12,True
XLF,drwish_glb,53.07,166244400,71.42,2025-09-01,15,2025-09-16,DrWish GLB,53.49,54.25,1.42,6,True
XLE,drwish_glb,87.36,68029400,71.39,2025-09-01,15,2025-09-16,DrWish GLB,89.44,90.68,1.39,8,True
XLE,drwish_glb,87.36,68029400,71.32,2025-08-25,22,2025-09-16,DrWish GLB,89.44,90.62,1.32,7,True
MAGS,drwish_glb,61.21,10674000,71.23,2025-09-01,15,2025-09-16,DrWish GLB,60.96,61.71,1.23,3,True
XLF,drwish_glb,53.07,166244400,71.22,2025-08-25,22,2025-09-16,DrWish GLB,53.49,54.14,1.22,5,True
XLV,drwish_glb,137.9,52353500,70.91,2025-08-18,29,2025-09-16,DrWish GLB,137.76,139.02,0.91,7,True
XLF,drwish_glb,53.07,166244400,70.36,2025-08-18,29,2025-09-16,DrWish GLB,53.49,53.68,0.36,4,True
